Gene name,Accession
CHS5,Q12114
CHS6,P40955
CHS7,P38843
CHZ1,P40019
CIA1,Q05583
CIC1,P38779
CIK1,Q01649
CIN1,P40987
CIN2,P46670
CIN4,P39110
CIN5,P40917
CIN8,P27895
CIR1,P42940
CIR2,Q08822
CIS1,Q06139
CIS3,P47001
CIT1,P00890
CIT2,P08679
CIT3,P43635
CKA1,P15790
CKA2,P19454
CKB1,P43639
CKB2,P38930
CKI1,P20485
CKS1,P20486
CLA4,P48562
CLB1,P24868
CLB2,P24869
CLB3,P24870
CLB4,P24871
CLB5,P30283
CLB6,P32943
CLC1,P17891
CLD1,P53264
CLF1,Q12309
CLG1,P35190
CLN1,P20437
CLN2,P20438
CLN3,P13365
CLP1,Q08685
CLU1,Q03690
CMC1,P36064
CMC2,Q3E7A4
CMC4,Q3E7A9
CMD1,P06787
CMK1,P27466
CMK2,P22517
CMP2,P14747
CMR1,Q12510
CMR3,Q12145
CMS1,Q07897
CNA1,P23287
CNB1,P25296
CNE1,P27825
CNL1,Q06333
CNM67,P53865
CNN1,P43618
CNS1,P33313
COA1,P40452
COA2,Q3E823
COA3,Q3E7B2
COA4,Q05809
COA6,Q3E846
COB,P00163
COF1,Q03048
COG1,P53079
COG2,P53271
COG3,P40094
COG4,Q06096
COG5,P53951
COG6,P53959
COG7,P53195
COG8,Q04632
COP1,P53622
COQ1,P18900
COQ10,Q08058
COQ11,Q05892
COQ2,P32378
COQ3,P27680
COQ4,O13525
COQ5,P49017
COQ6,P53318
COQ8,P27697
COQ9,Q05779
COR1,P07256
COS1,P53822
COS10,P52924
COS111,P38308
COS12,P53053
COS2,P0CX12
COS3,P0CX13
COS4,P43542
COS5,P47187
COS6,P53344
COS7,Q07788
COS8,P38723
COS9,P36034
COT1,P32798
COX10,P21592
COX11,P19516
COX12,Q01519
COX13,P32799
COX14,P39103
COX15,P40086
COX16,P47081
COX17,Q12287
COX18,P53239
COX19,Q3E731
COX1,P00401
COX20,Q04935
COX23,P38824
COX26,Q2V2P9
COX2,P00410
COX3,P00420
COX4,P04037
COX5A,P00424
COX5B,P00425
COX6,P00427
COX7,P10174
COX8,P04039
COX9,P07255
COY1,P34237
CPA1,P07258
CPA2,P03965
CPD1,P53314
CPR1,P14832
CPR2,P23285
CPR3,P25719
CPR4,P25334
CPR5,P35176
CPR6,P53691
CPR7,P47103
CPR8,P53728
CPS1,P27614
CPT1,P17898
CRC1,Q12289
CRD1,Q07560
CRF1,Q04930
CRG1,P38892
CRH1,P53301
CRM1,P30822
CRN1,Q06440
CRP1,P38845
CRR1,Q05790
CRS5,P41902
CRT10,Q08226
CRZ1,P53968
CSC1,Q06538
CSE1,P33307
CSE2,P33308
CSE4,P36012
CSF1,Q12150
CSG2,P35206
CSH1,P38287
CSI1,Q04368
CSI2,Q08054
CSL4,P53859
CSM1,P25651
CSM2,P40465
CSM3,Q04659
CSM4,Q08955
CSN12,P47130
CSN9,Q03981
CSR1,Q06705
CSR2,Q12734
CSS1,P40442
CSS2,P43600
CSS3,Q08300
CST26,P38226
CST6,P40535
CST9,Q06032
CTA1,P15202
CTF13,P35203
CTF18,P49956
CTF19,Q02732
CTF3,Q12748
CTF4,Q01454
CTF8,P38877
CTH1,P47976
CTI6,Q08923
CTK1,Q03957
CTK2,P46962
CTK3,P46963
CTL1,Q03220
CTM1,P38818
CTO1,P25616
CTP1,P38152
CTR1,P49573
CTR2,P38865
CTR3,Q06686
CTR86,P25355
CTR9,P89105
CTS1,P29029
CTS2,Q06350
CTT1,P06115
CUB1,Q08977
CUE1,P38428
CUE2,P36075
CUE3,P53137
CUE4,Q04201
CUE5,Q08412
CUL3,P53202
CUP1-1,P0CX80
CUP1-2,P0CX81
CUP2,P15315
CUP9,P41817
CUR1,Q06469
CUS1,Q02554
CUS2,P53830
CUZ1,P53899
CWC15,Q03772
CWC21,Q03375
CWC22,P53333
CWC23,P52868
CWC24,P53769
CWC25,P53854
CWC27,Q02770
CWC2,Q12046
CWH36,P25603
CWH41,P53008
CWH43,P25618
CWP1,P28319
CWP2,P43497
CYB2,P00175
CYB5,P40312
CYC1,P00044
CYC2,P38909
CYC3,P06182
CYC7,P00045
CYC8,P14922
CYK3,Q07533
CYM1,P32898
CYR1,P08678
CYS3,P31373
CYS4,P32582
CYT1,P07143
CYT2,Q00873
DAD1,Q12248
DAD2,P36162
DAD3,P69850
DAD4,P69851
DAK1,P54838
DAK2,P43550
DAL1,P32375
DAL2,P25335
DAL3,P32459
DAL4,Q04895
DAL5,P15365
DAL7,P21826
DAL80,P26343
DAL81,P21657
DAL82,P21705
DAM1,P53267
DAN1,P47178
DAN4,P47179
DAP1,Q12091
DAP2,P18962
