Gene name,Accession
PHA2,P32452
PHB1,P40961
PHB2,P50085
PHD1,P36093
PHM6,Q05637
PHM7,Q12252
PHM8,P40025
PHO11,P35842
PHO12,P38693
PHO13,P19881
PHO23,P50947
PHO2,P07269
PHO3,P24031
PHO4,P07270
PHO5,P00635
PHO8,P11491
PHO80,P20052
PHO81,P17442
PHO84,P25297
PHO85,P17157
PHO86,P46956
PHO87,P25360
PHO88,P38264
PHO89,P38361
PHO90,P39535
PHO91,P27514
PHO92,Q06390
PHR1,P05066
PHS1,P40857
PIB1,Q06651
PIB2,P53191
PIC2,P40035
PIF1,P07271
PIG1,Q06216
PIG2,P40187
PIH1,P38768
PIK1,P39104
PIL1,P53252
PIM1,P36775
PIN2,Q12057
PIN3,Q06449
PIN4,P34217
PIP2,P52960
PIR1,Q03178
PIR3,Q03180
PIR5,P46999
PIS1,P06197
PKC1,P24583
PKH1,Q03407
PKH2,Q12236
PKH3,Q03306
PKP1,P40530
PKP2,P53170
PKR1,Q03880
PLB1,P39105
PLB2,Q03674
PLB3,Q08108
PLC1,P32383
PLM2,Q04383
PLP1,Q04004
PLP2,Q12017
PMA1,P05030
PMA2,P19657
PMC1,P38929
PMD1,P32634
PMI40,P29952
PML1,Q07930
PML39,Q03760
PMP1,P32903
PMP2,P40975
PMP3,P87284
PMR1,P13586
PMS1,P14242
PMT1,P33775
PMT2,P31382
PMT3,P47190
PMT4,P46971
PMT5,P52867
PMT6,P42934
PMT7,Q06644
PMU1,P36069
PNC1,P53184
PNG1,Q02890
PNO1,Q99216
PNP1,Q05788
PNS1,Q12412
PNT1,P38969
POA1,P38218
POB3,Q04636
POC4,Q12245
POF1,P25576
POG1,P40473
POL12,P38121
POL1,P13382
POL2,P21951
POL30,P15873
POL31,P46957
POL32,P47110
POL3,P15436
POL4,P25615
POL5,P39985
POM152,P39685
POM33,Q12164
POM34,Q12445
POP1,P41812
POP2,P39008
POP3,P53833
POP4,P38336
POP5,P28005
POP6,P53218
POP7,P38291
POP8,P38208
POR1,P04840
POR2,P40478
POS5,Q06892
POT1,P27796
POX1,P13711
PPA2,P28239
PPE1,P38796
PPG1,P32838
PPH21,P23594
PPH22,P23595
PPH3,P32345
PPM1,Q04081
PPM2,Q08282
PPN1,Q04119
PPQ1,P32945
PPR1,P07272
PPS1,P38148
PPT1,P53043
PPT2,Q12036
PPX1,P38698
PPZ1,P26570
PPZ2,P33329
PRB1,P09232
PRC1,P00729
PRD1,P25375
PRE1,P22141
PRE10,P21242
PRE2,P30656
PRE3,P38624
PRE4,P30657
PRE5,P40302
PRE6,P40303
PRE7,P23724
PRE8,P23639
PRE9,P23638
PRI1,P10363
PRI2,P20457
PRK1,P40494
PRM1,P53835
PRM10,P42946
PRM15,Q03262
PRM2,P40534
PRM3,Q08931
PRM4,Q12498
PRM5,P40476
PRM6,Q04705
PRM7,Q12459
PRM8,P53174
PRM9,P39551
PRO1,P32264
PRO2,P54885
PRO3,P32263
PRP11,Q07350
PRP16,P15938
PRP18,P33411
PRP19,P32523
PRP21,P32524
PRP22,P24384
PRP24,P49960
PRP28,P23394
PRP2,P20095
PRP31,P49704
PRP38,Q00723
PRP39,P39682
PRP3,Q03338
PRP40,P33203
PRP42,Q03776
PRP43,P53131
PRP45,P28004
PRP46,Q12417
PRP4,P20053
PRP5,P21372
PRP6,P19735
PRP8,P33334
PRP9,P19736
PRR1,P28708
PRR2,Q12310
PRS1,P32895
PRS2,P38620
PRS3,P38689
PRS4,P38063
PRS5,Q12265
PRT1,P06103
PRX1,P34227
PRY1,P47032
PRY2,P36110
PRY3,P47033
PSA1,P41940
PSD1,P39006
PSD2,P53037
PSE1,P32337
PSF1,Q12488
PSF2,P40359
PSF3,Q12146
PSG1,P36081
PSH1,Q12161
PSK1,P31374
PSK2,Q08217
PSO2,P30620
PSP1,P50896
PSP2,P50109
PSR1,Q07800
PSR2,Q07949
PST1,Q12355
PST2,Q12335
PSY1,P36082
PSY2,P40164
PSY3,Q12318
PSY4,P38193
PTA1,Q01329
PTC1,P35182
PTC2,P39966
PTC3,P34221
PTC4,P38089
PTC5,Q12511
PTC6,P25646
PTC7,P38797
PTH1,P38876
PTH2,P34222
PTI1,P39927
PTK1,P36002
PTK2,P47116
PTM1,P32857
PTP1,P25044
PTP2,P29461
PTP3,P40048
PTR2,P32901
PTR3,P43606
PUB1,P32588
PUF2,Q12221
PUF3,Q07807
PUF4,P25339
PUF6,Q04373
PUG1,P40100
PUN1,Q06991
PUP1,P25043
PUP2,P32379
PUP3,P25451
PUS1,Q12211
PUS2,P53167
PUS4,P48567
PUS5,Q06244
PUS6,P53294
PUS7,Q08647
PUS9,Q12069
PUT1,P09368
PUT2,P07275
PUT3,P25502
PUT4,P15380
PWP1,P21304
PWP2,P25635
PXA1,P41909
PXA2,P34230
PXL1,P36166
PXP1,P39994
PXP2,P47148
PXR1,P53335
PYC1,P11154
PYC2,P32327
PYK2,P52489
PYP1,P53981
PZF1,P39933
QCR10,P37299
QCR2,P07257
QCR6,P00127
QCR7,P00128
QCR8,P08525
QCR9,P22289
QDR1,P40475
QDR2,P40474
QDR3,P38227
QNS1,P38795
QRI1,P43123
QRI5,P32344
QRI7,P43122
RAD1,P06777
RAD10,P06838
RAD14,P28519
RAD16,P31244
RAD17,P48581
RAD18,P10862
RAD2,P07276
RAD23,P32628
RAD24,P32641
RAD26,P40352
RAD27,P26793
RAD28,Q12021
RAD30,Q04049
RAD33,Q04231
RAD34,Q06665
RAD3,P06839
RAD4,P14736
RAD50,P12753
RAD51,P25454
RAD52,P06778
RAD53,P22216
RAD54,P32863
RAD55,P38953
RAD57,P25301
RAD59,Q12223
RAD5,P32849
RAD61,Q99359
RAD6,P06104
RAD7,P06779
RAD9,P14737
RAF1,Q06891
RAI1,P53063
RAM1,P22007
RAM2,P29703
RAP1,P11938
RAS1,P01119
RAS2,P01120
RAT1,Q02792
RAV1,P47104
RAV2,Q03956
RAX1,Q08760
RAX2,Q12465
RBA50,Q04418
RBD2,Q12270
RBG1,P39729
RBG2,P53295
RBK1,P25332
RBL2,P48606
RBS1,Q05672
RCE1,Q03530
RCF1,Q03713
RCF2,P53721
RCH1,Q05131
RCK1,P38622
RCK2,P38623
RCL1,Q08096
RCM1,P53972
RCN1,P36054
RCN2,Q12044
RCO1,Q04779
RCR1,P38212
RCR2,Q03446
RCY1,P39531
RDH54,P38086
RDI1,Q12434
RDL1,Q12305
RDL2,Q08742
RDR1,Q08904
RDS1,P25611
RDS2,P19541
RDS3,Q06835
RDT1,A0A0B7P221
REB1,P21538
REC102,Q02721
REC104,P33323
REC107,P21651
REC114,P32841
REC8,Q12188
RED1,P14291
REE1,P40893
REF2,P42073
REG1,Q00816
REG2,P38232
REH1,Q06709
REI1,P38344
REP1,P03871
REP2,P03872
RER1,P25560
RER2,P35196
RET1,P22276
RET2,P43621
RET3,P53600
REV1,P12689
REV3,P14284
REV7,P38927
REX2,P54964
REX3,Q12090
REX4,Q08237
RFA1,P22336
RFA2,P26754
RFA3,P26755
RFC1,P38630
RFC2,P40348
RFC3,P38629
RFC4,P40339
RFC5,P38251
RFM1,Q12192
RFS1,P38234
RFT1,P38206
RFU1,Q08003
RFX1,P48743
RGA1,P39083
RGA2,Q06407
RGC1,Q06108
RGD1,P38339
RGD2,P43556
RGI1,P40043
RGI2,P40188
RGL1,Q12194
RGM1,Q00453
RGP1,P16664
RGR1,P19263
RGS2,Q99188
RGT1,P32862
RGT2,Q12300
RHB1,P25378
RHO1,P06780
RHO2,P06781
RHO3,Q00245
RHO4,Q00246
RHO5,P53879
RIA1,P53893
RIB1,P38066
RIB2,Q12362
RIB3,Q99258
RIB4,P50861
RIB5,P38145
RIB7,P33312
RIC1,P40395
RIF1,P29539
RIF2,Q06208
RIM1,P32445
RIM101,P33400
RIM11,P38615
RIM13,Q03792
RIM15,P43565
RIM2,P38127
RIM20,Q12033
RIM21,P48565
RIM4,P38741
RIM8,P53179
RIM9,Q04734
RIO1,Q12196
RIO2,P40160
RIP1,P08067
RIT1,P23796
RIX1,P38883
RIX7,Q07844
RKI1,Q12189
RKM1,Q08961
RKM2,Q03942
RKM3,P38222
RKM4,Q12504
RKM5,Q12367
RKR1,Q04781
RLF2,Q12495
RLI1,Q03195
RLM1,Q12224
RLP24,Q07915
RLP7,P40693
RMA1,P36001
RMD1,Q03441
RMD5,Q12508
RMD6,P39975
RMD8,P43620
RMD9,P53140
RME1,P32338
RMI1,Q02685
RML2,P32611
RMP1,Q12530
RMR1,P53060
RMT2,Q03305
RNA1,P11745
RNA14,P25298
RNA15,P25299
RNH1,Q04740
RNH201,P53942
RNH202,Q05635
RNH203,Q12338
RNH70,P53331
RNP1,P32385
RNQ1,P25367
RNR1,P21524
RNR2,P09938
RNR3,P21672
RNR4,P49723
RNT1,Q02555
RNY1,Q02933
ROD1,Q02805
ROG1,P53118
ROG3,P43602
ROK1,P45818
ROM1,P53046
ROM2,P51862
ROT1,Q03691
ROT2,P38138
ROX1,P25042
ROX3,P25046
ROY1,Q04847
RPA12,P32529
RPA135,P22138
RPA14,P50106
RPA190,P10964
RPA34,P47006
RPA43,P46669
RPA49,Q01080
RPB10,P22139
RPB11,P38902
RPB2,P08518
RPB3,P16370
RPB4,P20433
RPB5,P20434
RPB7,P34087
RPB8,P20436
RPB9,P27999
RPC10,P40422
RPC11,Q04307
RPC17,P47076
RPC19,P28000
RPC25,P35718
RPC31,P17890
RPC34,P32910
RPC37,P36121
RPC40,P07703
RPC53,P25441
RPC82,P32349
RPD3,P32561
RPE1,P46969
RPF1,P38805
RPF2,P36160
RPG1,P38249
RPH1,P39956
RPI1,P23250
RPL10,P41805
RPL11A,P0C0W9
RPL11B,Q3E757
RPL12A,P0CX53
RPL12B,P0CX54
RPL13A,Q12690
RPL13B,P40212
RPL14A,P36105
RPL14B,P38754
RPL15A,P05748
RPL15B,P54780
RPL16A,P26784
RPL16B,P26785
RPL17A,P05740
RPL17B,P46990
RPL18A,P0CX49
RPL18B,P0CX50
RPL19A,P0CX82
RPL19B,P0CX83
RPL1A,P0CX43
RPL1B,P0CX44
RPL20A,P0CX23
RPL20B,P0CX24
RPL21A,Q02753
RPL21B,Q12672
RPL22A,P05749
RPL22B,P56628
RPL23A,P0CX41
RPL23B,P0CX42
RPL24A,P04449
RPL24B,P24000
RPL25,P04456
RPL26A,P05743
RPL26B,P53221
RPL27A,P0C2H6
RPL27B,P0C2H7
RPL28,P02406
RPL29,P05747
RPL2A,P0CX45
RPL2B,P0CX46
RPL30,P14120
RPL31A,P0C2H8
RPL31B,P0C2H9
RPL32,P38061
RPL33A,P05744
RPL33B,P41056
RPL34A,P87262
RPL34B,P40525
RPL35A,P0CX84
RPL35B,P0CX85
RPL36A,P05745
RPL36B,O14455
RPL37A,P49166
RPL37B,P51402
RPL38,P49167
RPL39,P04650
RPL3,P14126
RPL40A,P0CH08
RPL40B,P0CH09
RPL41A,P0CX86
RPL41B,P0CX87
RPL42A,P0CX27
RPL42B,P0CX28
RPL43A,P0CX25
RPL43B,P0CX26
RPL4A,P10664
RPL4B,P49626
RPL5,P26321
RPL6A,Q02326
RPL6B,P05739
RPL7A,P05737
RPL7B,Q12213
RPL8A,P17076
RPL8B,P29453
RPL9A,P05738
RPL9B,P51401
RPM2,Q02773
RPN10,P38886
RPN11,P43588
RPN12,P32496
RPN13,O13563
RPN14,P53196
RPN1,P38764
RPN2,P32565
RPN3,P40016
RPN4,Q03465
RPN5,Q12250
RPN6,Q12377
RPN7,Q06103
RPN8,Q08723
RPN9,Q04062
RPO21,P04050
RPO26,P20435
RPO31,P04051
RPO41,P13433
RPP0,P05317
RPP1,P38786
RPP1A,P05318
RPP1B,P10622
RPP2A,P05319
RPP2B,P02400
RPR2,P40571
RPS0A,P32905
RPS0B,P46654
RPS10A,Q08745
RPS10B,P46784
RPS11A,P0CX47
RPS11B,P0CX48
RPS12,P48589
RPS13,P05756
RPS14A,P06367
RPS14B,P39516
RPS15,Q01855
RPS16A,P0CX51
RPS16B,P0CX52
RPS17A,P02407
RPS17B,P14127
RPS18A,P0CX55
RPS18B,P0CX56
RPS19A,P07280
RPS19B,P07281
RPS1A,P33442
RPS1B,P23248
RPS20,P38701
RPS21A,P0C0V8
RPS21B,Q3E754
RPS22A,P0C0W1
RPS22B,Q3E7Y3
RPS23A,P0CX29
RPS23B,P0CX30
RPS24A,P0CX31
RPS24B,P0CX32
RPS25A,Q3E792
RPS25B,P0C0T4
RPS26A,P39938
RPS26B,P39939
RPS27A,P35997
RPS27B,P38711
RPS28A,Q3E7X9
RPS28B,P0C0X0
RPS29A,P41057
RPS29B,P41058
RPS2,P25443
RPS30A,P0CX33
RPS30B,P0CX34
RPS31,P05759
RPS3,P05750
RPS4A,P0CX35
RPS4B,P0CX36
RPS5,P26783
RPS6A,P0CX37
RPS6B,P0CX38
RPS7A,P26786
RPS7B,P48164
RPS8A,P0CX39
RPS8B,P0CX40
RPS9A,O13516
RPS9B,P05755
RPT1,P33299
RPT2,P40327
RPT3,P33298
RPT4,P53549
RPT5,P33297
RPT6,Q01939
RQC1,Q05468
RQC2,Q12532
RQT4,P36119
RRB1,Q04225
RRD1,P40454
RRD2,Q12461
RRF1,P38771
RRG1,Q12167
RRG7,Q08774
RRG8,Q06109
RRG9,P40156
RRI1,Q12468
RRI2,Q12348
RRM3,P38766
RRN10,P38204
RRN11,Q04712
RRN3,P36070
RRN5,Q02983
RRN6,P32786
RRN7,P40992
RRN9,P53437
RRP1,P35178
RRP12,Q12754
RRP14,P36080
RRP15,Q06511
RRP17,Q04031
RRP3,P38712
RRP36,Q12481
RRP4,P38792
RRP40,Q08285
RRP42,Q12277
RRP43,P25359
RRP45,Q05636
RRP46,P53256
RRP5,Q05022
RRP6,Q12149
RRP7,P25368
RRP8,P38961
RRP9,Q06506
RRS1,Q08746
RRT1,P38192
RRT12,P25381
RRT13,P40042
RRT14,P40470
RRT15,Q3E811
RRT16,P50943
RRT2,P38332
RRT5,P43607
RRT6,P53117
RRT7,Q07829
RRT8,Q08219
RSA1,Q08932
RSA3,Q05942
RSA4,P25382
RSB1,Q08417
RSC1,P53236
RSC2,Q06488
RSC3,Q06639
RSC30,P38781
RSC4,Q02206
RSC58,Q07979
RSC6,P25632
RSC8,P43609
RSC9,Q03124
RSE1,Q04693
RSF1,Q05043
RSF2,P46974
RSM10,Q03201
RSM18,P40033
RSM19,P53733
RSM22,P36056
RSM23,Q01163
RSM24,Q03976
RSM25,P40496
RSM26,P47141
RSM27,P53305
RSM28,Q03430
RSM7,P47150
RSN1,Q03516
RSP5,P39940
RSR1,P13856
RTA1,P53047
RTC1,Q08281
RTC2,P38279
RTC3,P38804
RTC4,P53850
RTC5,Q12108
RTC6,O14464
RTF1,P53064
RTG1,P32607
RTG2,P32608
RTG3,P38165
RTK1,Q12100
RTN1,Q04947
RTN2,Q12443
RTP1,Q12751
RTR1,P40084
RTR2,Q12378
RTS1,P38903
RTS2,P40962
RTS3,P53289
RTT101,P47050
RTT102,P53330
RTT103,Q05543
RTT105,P40063
RTT106,P40161
RTT107,P38850
RTT109,Q07794
RTT10,Q08924
RUB1,Q03919
RUD3,Q12234
RUP1,Q12242
RVB1,Q03940
RVB2,Q12464
RVS161,P25343
RVS167,P39743
RXT2,P38255
RXT3,Q07458
SAC1,P32368
SAC3,P46674
SAC6,P32599
SAC7,P17121
SAD1,P43589
SAE2,P46946
SAE3,P89114
SAF1,P38352
SAG1,P20840
SAH1,P39954
SAK1,P38990
SAL1,D6W196
SAM1,P10659
SAM2,P19358
SAM3,Q08986
SAM35,P14693
SAM37,P50110
SAM4,Q08985
SAM50,P53969
SAN1,P22470
SAP1,P39955
SAP155,P43612
SAP185,P40856
SAP190,P36123
SAP30,P38429
SAP4,P53036
SAR1,P20606
SAS10,Q12136
SAS2,P40963
SAS3,P34218
SAS4,Q04003
SAS5,Q99314
SAT4,P25333
SAW1,P39735
SAY1,P53324
SBA1,P28707
SBE2,P42223
SBE22,P38814
SBH1,P52870
SBH2,P52871
SBP1,P10080
SCC2,Q04002
SCC4,P40090
SCD5,P34758
SCD6,P45978
SCEI,P03882
SCH9,P11792
SCJ1,P25303
SCL1,P21243
SCM3,Q12334
SCM4,P32564
SCO1,P23833
SCO2,P38072
SCP1,Q08873
SCP160,P06105
SCS2,P40075
SCS22,Q6Q595
SCS3,P53012
SCS7,Q03529
SCT1,P32784
SCW10,Q04951
SCW11,P53189
SCW4,P53334
SCY1,P53009
SDA1,P53313
SDC1,Q03323
SDC25,P0CF34
SDD1,P39983
SDH1,Q00711
SDH2,P21801
SDH3,P33421
SDH4,P37298
SDH5,Q08230
SDH6,Q3E785
SDH7,Q04401
SDH8,P38345
SDL1,P0CF22
SDO1,Q07953
SDP1,P40479
SDS22,P36047
SDS23,P53172
SDS24,P38314
SDS3,P40505
SDT1,P53078
SEA4,P38164
SEC1,P30619
SEC10,Q06245
SEC11,P15367
SEC12,P11655
SEC13,Q04491
SEC14,P24280
SEC15,P22224
SEC16,P48415
SEC17,P32602
SEC18,P18759
SEC2,P17065
SEC20,P28791
SEC21,P32074
SEC22,P22214
SEC23,P15303
SEC24,P40482
SEC26,P41810
SEC27,P41811
SEC28,P40509
SEC31,P38968
SEC39,Q12745
SEC3,P33332
SEC4,P07560
SEC5,P89102
SEC53,P07283
SEC59,P20048
SEC6,P32844
SEC61,P32915
SEC62,P21825
SEC63,P14906
SEC65,P29478
SEC66,P33754
SEC7,P11075
SEC72,P39742
SEC8,P32855
SEC9,P40357
SED1,Q01589
SED4,P25365
SED5,Q01590
SEF1,P34228
SEG1,Q04279
SEG2,P34250
SEH1,P53011
SEI1,Q06058
SEM1,O94742
SEN1,Q00416
SEN15,Q04675
SEN2,P16658
SEN34,P39707
SEN54,Q02825
SEO1,P39709
SER1,P33330
SER2,P42941
SER3,P40054
SER33,P40510
SES1,P07284
SET1,P38827
SET2,P46995
SET3,P36124
SET4,P42948
SET5,P38890
SET6,Q12529
SEY1,Q99287
SFA1,P32771
SFB2,P53953
SFB3,P38810
SFC1,P33303
SFG1,Q12507
SFH1,Q06168
SFH5,P47008
SFI1,Q12369
SFK1,P35735
SFL1,P20134
SFM1,Q12314
SFP1,P32432
SFT1,P43682
SFT2,P38166
SGA1,P08019
SGD1,Q06132
SGE1,P33335
SGF11,Q03067
SGF29,P25554
SGF73,P53165
SGM1,P47166
SGN1,P40561
SGO1,Q08490
SGS1,P35187
SGT1,Q08446
SGT2,Q12118
SGV1,P23293
SHB17,P36136
SHC1,P39000
SHE1,P38200
SHE10,P53075
SHE2,P36068
SHE3,P38272
SHE4,P51534
SHE9,Q04172
SHG1,P38337
SHH3,Q04487
SHH4,Q06236
SHM1,P37292
SHM2,P37291
SHO1,P40073
SHP1,P34223
SHQ1,P40486
SHR3,Q02774
SHR5,P41912
SHS1,Q07657
SHU1,P38751
SHU2,P38957
SHY1,P53266
SIA1,Q12212
SIC1,P38634
SIF2,P38262
SIL1,Q08199
SIM1,P40472
SIN3,P22579
SIN4,P32259
SIP1,P32578
SIP18,P50263
SIP2,P34164
SIP3,P38717
SIP4,P46954
SIP5,P40210
SIR1,P21691
SIR2,P06700
SIR3,P06701
SIR4,P11978
SIS1,P25294
SIS2,P36024
SIT1,P39980
SIT4,P20604
SIW14,P53965
SIZ1,Q04195
SKG1,P36169
SKG3,Q06315
SKG6,P32900
SKI2,P35207
SKI3,P17883
SKI6,P46948
SKI7,Q08491
SKI8,Q02793
SKM1,Q12469
SKN1,P33336
SKN7,P38889
SKO1,Q02100
SKP1,P52286
SKP2,P42843
SKS1,Q12505
SKT5,P34226
SKY1,Q03656
SLA1,P32790
SLA2,P33338
SLC1,P33333
SLD2,P34252
SLD3,P53135
SLD5,Q03406
SLD7,Q08457
SLF1,Q12034
SLG1,P54867
SLH1,P53327
SLI1,P53304
SLI15,P38283
SLK19,Q08581
SLM1,P40485
SLM2,P53955
SLM3,Q12093
SLM4,P38247
SLM5,P25345
SLM6,P38343
SLN1,P39928
SLO1,Q3E784
SLP1,Q12232
SLS1,P42900
SLT2,Q00772
SLU7,Q02775
SLX1,P38324
SLX4,Q12098
SLX5,P32828
SLX8,P40072
SLX9,P53251
SLY1,P22213
SLY41,P22215
SLZ1,P40167
SMA1,Q02651
SMA2,Q04658
SMB1,P40018
SMC1,P32908
SMC2,P38989
SMC3,P47037
SMC4,Q12267
SMC5,Q08204
SMC6,Q12749
SMD1,Q02260
SMD2,Q06217
SMD3,P43321
SME1,Q12330
SMF1,P38925
SMF2,P38778
SMF3,Q12078
SMI1,P32566
SMK1,P41808
SML1,Q04964
SMM1,P53720
SMP1,P38128
SMP3,Q04174
SMT3,Q12306
SMX2,P40204
SMX3,P54999
SMY1,P32364
SMY2,P32909
SNA2,P56508
SNA3,P14359
SNA4,Q07549
SNC1,P31109
SNC2,P33328
SND1,Q04007
SNF11,P38956
SNF12,P53628
SNF1,P06782
SNF2,P22082
SNF3,P10870
SNF4,P12904
SNF5,P18480
SNF6,P18888
SNF7,P39929
SNF8,Q12483
SNG1,P46950
SNL1,P40548
SNM1,P40993
SNN1,P48232
SNO1,Q03144
SNO2,P53823
SNO3,P43544
SNO4,Q04902
SNP1,Q00916
SNQ2,P32568
SNT1,P25357
SNT2,P53127
SNT309,Q06091
SNU114,P36048
SNU13,P39990
SNU23,Q12368
SNU56,Q03782
SNU66,Q12420
SNU71,P53207
SNX3,Q08826
SNX41,Q04053
SNX4,P47057
SNZ1,Q03148
SNZ2,P53824
SNZ3,P43545
SOD1,P00445
SOD2,P00447
SOF1,P33750
SOG2,Q08817
SOH1,P38633
SOK1,P40317
SOK2,P53438
SOL1,P50278
SOL2,P37262
SOL3,P38858
SOL4,P53315
SOM1,Q05676
SOP4,P39543
SOR1,P35497
SOR2,Q07786
SOV1,Q04748
SPA2,P23201
SPB1,P25582
SPB4,P25808
SPC1,P46965
SPC105,P53148
SPC110,P32380
SPC19,Q03954
SPC24,Q04477
SPC25,P40014
SPC29,P33419
SPC2,Q04969
SPC3,Q12133
SPC34,P36131
SPC42,P36094
SPC72,P39723
SPC97,P38863
SPC98,P53540
SPE1,P08432
SPE2,P21182
SPE3,Q12074
SPE4,Q12455
SPF1,P39986
SPG1,P50088
SPG3,Q04398
SPG4,Q04438
SPG5,P42933
SPH1,Q06160
SPI1,P40092
SPL2,P38839
SPN1,Q06505
SPO1,P53541
SPO11,P23179
SPO12,P17123
SPO13,P23624
SPO14,P36126
SPO16,P17122
SPO19,Q03029
SPO20,Q04359
SPO21,Q12411
SPO22,P40511
SPO23,P33757
SPO24,Q3E752
SPO7,P18410
SPO71,Q03868
SPO73,P40031
SPO74,P45819
SPO75,Q07798
SPO77,Q06134
SPP1,Q03012
SPP2,Q02521
SPP381,P38282
SPP382,Q06411
SPP41,P38904
SPR1,P32603
SPR28,Q04921
SPR3,P41901
SPR6,Q01684
SPS1,P08458
SPS100,P13130
SPS18,P32572
SPS19,P32573
SPS2,P08459
SPS22,P25380
SPS4,P09937
SPT10,P35208
SPT14,P32363
SPT15,P13393
SPT16,P32558
SPT20,P50875
SPT21,P35209
SPT23,P35210
SPT2,P06843
SPT3,P06844
SPT4,P32914
SPT5,P27692
SPT6,P23615
SPT7,P35177
SPT8,P38915
SQS1,P53866
SQT1,P35184
SRB2,P34162
SRB4,P32569
SRB5,P32585
SRB6,P32570
SRB7,P47822
SRB8,P25648
SRC1,Q03707
SRD1,P09007
SRF1,Q12516
SRL1,Q08673
SRL2,Q12020
SRL3,P36167
SRL4,Q03085
SRM1,P21827
SRN2,Q99176
SRO77,P38163
SRO7,Q12038
SRO9,P25567
SRP101,P32916
SRP102,P36057
SRP14,P38985
SRP1,Q02821
SRP21,P32342
SRP40,P32583
SRP54,P20424
SRP68,P38687
SRP72,P38688
SRS2,P12954
SRT1,Q03175
SRV2,P17555
SRX1,P36077
SRY1,P36007
SSA1,P10591
SSA2,P10592
SSA3,P09435
SSA4,P22202
SSB1,P11484
SSB2,P40150
SSC1,P0CS90
SSD1,P24276
SSE1,P32589
SSE2,P32590
SSF1,P38789
SSF2,Q12153
SSH1,P38353
SSH4,P32343
SSK1,Q07084
SSK2,P53599
SSK22,P25390
SSL1,Q04673
SSL2,Q00578
SSM4,P40318
SSN2,P38931
SSN3,P39073
SSN8,P47821
SSO1,P32867
SSO2,P39926
SSP1,P38871
SSP120,P39931
SSP2,Q08646
SSQ1,Q05931
SSS1,P35179
SST2,P11972
SSU1,P41930
SSU72,P53538
SSY1,Q03770
SSY5,P47002
SSZ1,P38788
STB1,P42845
STB2,P46679
STB3,Q12427
STB4,P50104
STB5,P38699
STB6,P36085
STD1,Q02794
STE11,P23561
STE12,P13574
STE13,P33894
STE14,P32584
STE18,P18852
STE2,D6VTK4
STE20,Q03497
STE23,Q06010
STE24,P47154
STE3,P06783
STE4,P18851
STE50,P25344
STE5,P32917
STE6,P12866
STE7,P06784
STF1,P01098
STF2,P16965
STH1,P32597
STI1,P15705
STL1,P39932
STM1,P39015
STN1,P38960
STO1,P34160
STP1,Q00947
STP2,P38704
STP22,P25604
STP3,Q05937
STP4,Q07351
STR2,P47164
STR3,P53101
STS1,P38637
STT3,P39007
STT4,P37297
STU1,P38198
STU2,P46675
STV1,P37296
SUA5,P32579
SUA7,P29055
SUB1,P54000
SUB2,Q07478
SUC2,P00724
SUE1,Q06524
SUI1,P32911
SUI2,P20459
SUI3,P09064
SUL1,P38359
SUL2,Q12325
SUM1,P46676
SUN4,P53616
SUP35,P05453
SUP45,P12385
SUR1,P33300
SUR2,P38992
SUR7,P54003
SUS1,Q6WNK7
SUT1,P53032
SUT2,Q12286
SUV3,P32580
SVF1,Q05515
SVL3,Q03088
SVP26,P38869
SVS1,Q12254
SWA2,Q06677
SWC3,P31376
SWC4,P53201
SWC5,P38326
SWC7,Q06707
SWD1,P39706
SWD2,P36104
SWD3,P38123
SWE1,P32944
SWF1,Q04629
SWH1,P35845
SWI1,P09547
SWI3,P32591
SWI4,P25302
SWI5,P08153
SWI6,P09959
SWM1,Q12379
SWM2,P40342
SWP1,Q02795
SWP82,P43554
SWR1,Q05471
SWS2,P53937
SWT1,Q12104
SWT21,P53873
SXM1,Q04175
SYC1,Q08553
SYF1,Q04048
SYF2,P53277
SYG1,P40528
SYH1,Q02875
SYM1,Q06563
SYN8,P31377
SYO1,Q07395
SYP1,P25623
SYS1,P41544
SYT1,Q06836
TAD1,P53065
TAD2,P47058
TAD3,Q9URQ3
TAE1,P38340
TAF10,Q12030
TAF11,Q04226
TAF12,Q03761
TAF13,P11747
TAF14,P35189
TAF1,P46677
TAF2,P23255
TAF3,Q12297
TAF4,P50105
TAF5,P38129
TAF6,P53040
TAF7,Q05021
TAF8,Q03750
TAF9,Q05027
TAH1,P25638
TAH11,P47112
TAH18,Q12181
TAL1,P15019
TAM41,P53230
TAN1,P53072
TAO3,P40468
TAP42,Q04372
TAR1,Q8TGM6
TAT1,P38085
TAT2,P38967
TAX4,P47030
TAZ1,Q06510
TBF1,Q02457
TBS1,P38114
TCA17,P32613
TCB1,Q12466
TCB2,P48231
TCB3,Q03640
TCD1,P38756
TCD2,P36101
TCM62,P38228
TCO89,Q08921
TCP1,P12612
TDA1,Q03533
TDA10,P42938
TDA11,P38854
TDA2,P40045
TDA3,P38758
TDA4,P47153
TDA5,Q06417
TDA6,Q06466
TDA7,P53882
TDA8,Q6B2U8
TDA9,Q04545
TDH1,P00360
TDH2,P00358
TDH3,P00359
TDP1,P38319
TEA1,P47988
TEC1,P18412
TED1,P40533
TEF1,P02994
TEF2,P02994
TEF4,P36008
TEL1,P38110
TEL2,P53038
TEM1,P38987
TEN1,Q07921
TEP1,P53916
TES1,P41903
TEX1,P53851
TFA1,P36100
TFA2,P36145
TFB1,P32776
